CCLE_Name,lineage_subtype,id
SW962_VULVA,skin,80
8505C_THYROID,thyroid_carcinoma,21
NKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AML,0
MOLT13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ALL,7
SKBR3_BREAST,breast_carcinoma,6
L33_PANCREAS,exocrine,8
KMS34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,9
KNS81_CENTRAL_NERVOUS_SYSTEM,glioma,10
RCM1_LARGE_INTESTINE,colorectal_adenocarcinoma,1
MOTN1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,lymphoma_unspecified,12
HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AML,0
JHH2_LIVER,hepatocellular_carcinoma,40
HARA_LUNG,NSCLC,4
CAL54_KIDNEY,renal_cell_carcinoma,15
H290_PLEURA,mesothelioma,26
S117_SOFT_TISSUE,thyroid_sarcoma,11
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AML,0
F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AML,0
TE9_OESOPHAGUS,esophagus_squamous,44
SET2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AML,0
COLO741_SKIN,melanoma,2
OVCAR4_OVARY,ovary_adenocarcinoma,5
T24_URINARY_TRACT,bladder_carcinoma,3
HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,hodgkin_lymphoma,22
IMR5_AUTONOMIC_GANGLIA,neuroblastoma,24
VAESBJ_SOFT_TISSUE,epithelioid_sarcoma,76
JAR_PLACENTA,choriocarcinoma,73
ACCMESO1_PLEURA,mesothelioma,26
BCPAP_THYROID,thyroid_carcinoma,21
LB2241RCC_KIDNEY,renal_cell_carcinoma,15
BC3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,non_hodgkin_lymphoma,18
T84_LARGE_INTESTINE,colorectal_adenocarcinoma,1
MMACSF_SKIN,melanoma,2
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,multiple_myeloma,9
MFE296_ENDOMETRIUM,endometrial_adenocarcinoma,36
KP1N_PANCREAS,exocrine,8
GMS10_CENTRAL_NERVOUS_SYSTEM,glioma,10
ESO51_OESOPHAGUS,esophagus_adenocarcinoma,48
TE6_OESOPHAGUS,esophagus_squamous,44
DJM1_SKIN,skin_squamous,65
DBTRG05MG_CENTRAL_NERVOUS_SYSTEM,glioma,10
MFM223_BREAST,breast_ductal_carcinoma,14
RMGI_OVARY,ovary_adenocarcinoma,5
H4_CENTRAL_NERVOUS_SYSTEM,glioma,10
HS633T_SOFT_TISSUE,fibrosarcoma,19
COLO320_LARGE_INTESTINE,colorectal_adenocarcinoma,1
KNS42_CENTRAL_NERVOUS_SYSTEM,glioma,10
LB2518MEL_SKIN,melanoma,2
IGROV1_OVARY,ovary_adenocarcinoma,5
MDAMB330_BREAST,breast_carcinoma,6
RF48_STOMACH,non_hodgkin_lymphoma,18
A375_SKIN,melanoma,2
SNU308_BILIARY_TRACT,gallbladder_adenocarcinoma,33
NCIH2291_LUNG,NSCLC,4
HUO9_BONE,osteosarcoma,25
SW1088_CENTRAL_NERVOUS_SYSTEM,glioma,10
CTV1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ALL,7
ARH77_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,engineered,82
JHUEM1_ENDOMETRIUM,endometrial_adenocarcinoma,36
MDAMB134VI_BREAST,breast_ductal_carcinoma,14
NCIH1105_LUNG,SCLC,30
SAT_UPPER_AERODIGESTIVE_TRACT,upper_aerodigestive_squamous,38
NCIH1437_LUNG,NSCLC,4
RCCJF_KIDNEY,renal_cell_carcinoma,15
PANC1_PANCREAS,exocrine,8
GCIY_STOMACH,gastric_adenocarcinoma,16
MDAMB361_BREAST,breast_carcinoma,6
COLO792_SKIN,melanoma,2
VMRCLCD_LUNG,NSCLC,4
MG63_BONE,osteosarcoma,25
NH12_AUTONOMIC_GANGLIA,neuroblastoma,24
NEC8_TESTIS,embryo,87
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,AML,0
